run_id,backend,iteration,cuda_ms,wall_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T182249_bf16_eager,bf16_eager,289,60.13232,60.158892,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,290,60.200958,60.229323,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,291,60.664833,60.699139,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,292,64.132095,64.171112,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,293,61.001728,61.03221,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,294,65.301506,65.335112,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,295,59.708416,59.737657,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,296,60.143616,60.171686,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,297,60.266495,60.304624,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,298,63.021057,63.057046,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,299,61.737984,61.774143,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,300,60.082176,60.114379,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,301,59.996159,60.022989,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,302,60.077057,60.106885,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,303,60.081154,60.109761,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,304,60.023808,60.051181,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,305,66.11763,66.147697,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,306,60.35965,60.38849,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,307,60.136318,60.164072,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,308,60.020737,60.047355,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,309,60.474369,60.502964,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,310,60.168194,60.195571,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,311,60.36787,60.394191,4014.374,4256.0
