run_id,backend,denoising_steps,iteration,policy_cuda_ms,policy_wall_ms,denoiser_total_ms,per_step_mean_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T183102_bf16_eager,bf16_eager,1,83,199.21169,199.2938,60.34227,60.34227,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,84,199.11713,199.19977,60.26649,60.26649,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,85,254.87373,254.95447,60.07501,60.07501,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,86,251.79971,251.88668,63.28115,63.28115,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,87,198.71603,198.7951,59.99821,59.99821,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,88,200.68649,200.76639,61.78509,61.78509,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,89,201.12332,201.20537,61.69299,61.69299,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,90,218.46797,218.55416,60.27571,60.27571,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,91,200.58397,200.68651,60.00333,60.00333,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,92,199.32054,199.39795,60.04019,60.04019,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,93,200.44852,200.52486,60.12621,60.12621,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,94,199.30794,199.53129,60.02688,60.02688,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,95,211.05562,211.13696,63.51872,63.51872,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,96,205.40851,205.48743,60.1344,60.1344,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,97,202.44508,202.52032,59.97977,59.97977,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,98,199.30371,199.37906,60.00333,60.00333,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,99,246.77802,246.8559,59.91219,59.91219,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,100,202.27789,202.36363,60.05139,60.05139,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,101,202.36771,202.44571,60.58189,60.58189,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,102,198.44458,198.51929,59.94394,59.94394,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,103,199.11049,199.18648,59.92957,59.92957,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,104,202.27191,202.35024,60.07091,60.07091,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,105,222.44,222.51847,60.19789,60.19789,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,106,198.92813,199.00558,60.07091,60.07091,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,107,199.9288,200.0063,60.98432,60.98432,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,108,202.09079,202.16856,60.08832,60.08832,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,109,204.88672,204.96438,60.04429,60.04429,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,110,199.46768,199.54698,60.47949,60.47949,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,111,200.26947,200.34746,60.47846,60.47846,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,112,203.75494,203.83343,60.23168,60.23168,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,113,207.93472,208.01431,60.20608,60.20608,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,114,199.31664,199.39541,60.14874,60.14874,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,115,199.19533,199.27127,60.03197,60.03197,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,116,199.43306,199.51347,60.22451,60.22451,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,117,198.98758,199.06443,60.01254,60.01254,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,118,199.09044,199.16901,60.24499,60.24499,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,119,215.98938,216.07824,66.47194,66.47194,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,120,201.64577,201.72841,60.19181,60.19181,4013.604,5294.0
